resort,country,country code,lat,long,coord,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Jasper,Canada,CA,61.0666922,-107.991707,61.0666922;-107.991707,79,1,3298674,25,1,4.4,22,31,293,17,210,335.65,15,24
Banff,Canada,CA,61.0666922,-107.991707,61.0666922;-107.991707,76,2,2529168,25,1,4.5,22,31,493,10,280,220,19,5
Selva,Italy,IT,42.6384261,12.674297,42.6384261;12.674297,75,3,1700753,18,5,4.6,23,4,184,20,100,375.41,14,61
Lake Tahoe,USA,US,39.7837304,-100.445882,39.7837304;-100.445882,74,4,3013739,25,1,4.06,20,135,260,18,186,452,11,178
Winter Park,USA,US,39.7837304,-100.445882,39.7837304;-100.445882,72,5,1438479,15,9,4,20,135,219,19,161,248.92,18,12
Sierra Nevada,Spain,ES,39.3260685,-4.8379791,39.3260685;-4.8379791,70,6,1766553,18,5,4.3,21,82,292,17,210,375.41,14,61
Innsbruck,Austria,AT,47.522617,14.143702,47.522617;14.143702,66,7,1633238,17,7,3.63,18,239,191,20,100,470,11,178
Megeve,France,FR,46.603354,1.8883335,46.603354;1.8883335,64,8,368646,4,40,4.66,23,4,176,21,34,309,16,22
Wildschonau,Austria,AT,47.522617,14.143702,47.522617;14.143702,63,9,32478,1,127,4.5,22,31,191,20,100,205.24,20,1
Zell am See,Austria,AT,47.522617,14.143702,47.522617;14.143702,63,9,427478,5,29,4.4,22,31,252,18,186,248.92,18,12
Alleghe,Italy,IT,42.6384261,12.674297,42.6384261;12.674297,63,9,63997,1,127,4.53,22,31,208,20,100,205,20,1
Alpendorf,Austria,AT,47.522617,14.143702,47.522617;14.143702,62,12,24599,1,127,4.56,22,31,188,20,100,226.88,19,5
Morzine,France,FR,46.603354,1.8883335,46.603354;1.8883335,62,12,408048,5,29,4.63,23,4,207,20,100,378,14,61
Madonna di Campiglio,Italy,IT,42.6384261,12.674297,42.6384261;12.674297,62,12,413318,5,29,4.6,23,4,189,20,100,361,14,61
Niseko,Japan,JP,36.5748441,139.2394179,36.5748441;139.2394179,62,12,697693,7,23,4.1,20,135,173,21,34,375.41,14,61
Big Sky,USA,US,39.7837304,-100.445882,39.7837304;-100.445882,62,12,745361,8,19,4.1,20,135,213,19,161,360,15,24
St Anton,Austria,AT,47.522617,14.143702,47.522617;14.143702,61,17,355836,4,40,4.46,22,31,197,20,100,352,15,24
Whistler,Canada,CA,61.0666922,-107.991707,61.0666922;-107.991707,61,17,3222108,25,1,4.85,24,1,494,10,280,713,2,251
Alpe di Siusi,Italy,IT,42.6384261,12.674297,42.6384261;12.674297,61,17,213405,3,60,4.23,21,82,243,18,186,226.88,19,5
Interlaken,Switzerland,CH,46.7985624,8.2319736,46.7985624;8.2319736,61,17,945324,10,16,4.23,21,82,308,16,229,364,14,61
Jackson Hole,USA,US,39.7837304,-100.445882,39.7837304;-100.445882,61,17,1045713,11,14,4.6,23,4,326,16,229,446,11,178
Vail,USA,US,39.7837304,-100.445882,39.7837304;-100.445882,61,17,1145290,12,12,4.25,21,82,341,15,242,401.59,13,141
Oberau,Austria,AT,47.522617,14.143702,47.522617;14.143702,60,23,10877,1,127,4.85,24,1,177,21,34,375.41,14,61
Yllas,Finland,FI,63.2467777,25.9209164,63.2467777;25.9209164,60,23,17233,1,127,4.1,20,135,178,21,34,248.92,18,12
Alpe d'Huez,France,FR,45.092401,6.0699443,45.092401;6.0699443,60,23,234327,3,60,4.03,20,135,240,18,186,226.88,19,5
Pralognan-La-Vanoise,France,FR,45.381809,6.7212822,45.381809;6.7212822,60,23,28866,1,127,4.4,22,31,105,23,1,375,14,61
St Sorlin d'Arves,France,FR,45.221393,6.229047,45.221393;6.229047,60,23,1975,1,127,4.66,23,4,148,22,5,375,14,61
Valfrejus,France,FR,45.1736824,6.6543255,45.1736824;6.6543255,60,23,20538,1,127,4.8,24,1,127,22,5,402,13,141
Arabba,Italy,IT,46.4971763,11.8740902,46.4971763;11.8740902,60,23,47495,1,127,4,20,135,201,20,100,226.88,19,5
Monterosa,Italy,IT,44.52786,8.61695,44.52786;8.61695,60,23,310765,4,40,4.2,21,82,172,21,34,361,14,61
Hakuba Iwatake,Japan,JP,36.72438795,137.8415827,36.7243879499999;137.841582739488,60,23,6441,1,127,4.7,23,4,144,22,5,361,14,61
Andermatt,Switzerland,CH,46.6340499,8.5948148,46.6340499;8.5948148,60,23,126780,2,81,4.46,22,31,327,16,229,205,20,1
Verbier,Switzerland,CH,46.0961011,7.2286765,46.0961011;7.2286765,60,23,463751,5,29,4,20,135,288,17,210,257,18,12
Park City,USA,US,40.6460921,-111.4979963,40.6460921;-111.4979963,60,23,1386541,14,10,4.33,21,82,450,11,277,375,14,61
Niederau,Austria,AT,47.4496738,12.0892967,47.4496738;12.0892967,59,35,11359,1,127,4.7,23,4,177,21,34,375.41,14,61
Saalbach,Austria,AT,47.3914586,12.6364473,47.3914586;12.6364473,59,35,231044,3,60,4.43,22,31,211,19,161,352,15,24
Waidring,Austria,AT,47.5842705,12.5687421,47.5842705;12.5687421,59,35,16078,1,127,4.2,21,82,189,20,100,298,17,18
Westendorf,Austria,AT,47.4320467,12.2141675,47.4320467;12.2141675,59,35,45809,1,127,4.3,21,82,203,20,100,296.52,17,18
Pamporovo,Bulgaria,BG,41.6517608,24.6948671,41.6517608;24.6948671,59,35,60305,1,127,4.5,22,31,146,22,5,375.41,14,61
Iso-Syote,Finland,FI,65.6256646,27.6052585,65.6256646;27.6052585,59,35,59803,1,127,4.2,21,82,129,22,5,336,15,24
Isola 2000,France,FR,44.1869246,7.145441205,44.1869246;7.14544120532933,59,35,46525,1,127,4.1,20,135,104,23,1,361,15,24
Les Orres,France,FR,44.5140024,6.5510313,44.5140024;6.5510313,59,35,57954,1,127,4.46,22,31,140,22,5,367,14,61
Tignes,France,FR,45.4697293,6.907594,45.4697293;6.907594,59,35,433745,5,29,4.6,23,4,254,18,186,402,13,141
Valloire,France,FR,45.165,6.4296372,45.165;6.4296372,59,35,77490,1,127,4.4,22,31,155,21,34,343,15,24
Sauze d'Oulx,Italy,IT,45.0270271,6.8583464,45.0270271;6.8583464,59,35,70385,1,127,4.6,23,4,179,21,34,375,14,61
Sestriere,Italy,IT,44.9584528,6.8786855,44.9584528;6.8786855,59,35,212680,3,60,4.2,21,82,155,21,34,375,14,61
Itter,Austria,AT,47.4701866,12.1434521,47.4701866;12.1434521,58,47,11012,1,127,4.2,21,82,175,21,34,335.65,15,24
Lech,Austria,AT,47.2091173,10.1401259,47.2091173;10.1401259,58,47,307170,4,40,4.6,23,4,202,20,100,451.64,11,178
Rauris,Austria,AT,47.1582215,12.956604,47.1582215;12.956604,58,47,33202,1,127,4.4,22,31,152,21,34,375.41,14,61
Schladming,Austria,AT,47.3940415,13.6867878,47.3940415;13.6867878,58,47,227229,3,60,4.2,21,82,196,20,100,375.41,14,61
Seefeld,Austria,AT,47.8388418,13.5451182,47.8388418;13.5451182,58,47,170774,2,81,4.2,21,82,173,21,34,375.41,14,61
St Johann,Austria,AT,46.8196,14.856746,46.8196;14.856746,58,47,35048,1,127,4.36,21,82,178,21,34,352,15,24
Chamonix,France,FR,45.9246705,6.8727506,45.9246705;6.8727506,58,47,1608200,17,7,4.43,22,31,246,18,186,723,1,264
Les 2 Alpes,France,FR,45.01571,6.12679,45.01571;6.12679,58,47,157007,2,81,4.53,22,31,228,19,161,335.3,15,24
Les Angles,France,FR,43.0835762,0.0062129,43.0835762;0.0062129,58,47,59753,1,127,4.33,21,82,164,21,34,335,15,24
Les Gets,France,FR,46.1550977,6.6633312,46.1550977;6.6633312,58,47,176473,2,81,4.43,22,31,186,20,100,367,14,61
Les Houches,France,FR,45.891508,6.799138,45.891508;6.799138,58,47,53192,1,127,4.6,23,4,186,20,100,361,14,61
Les Saisies Hauteluce,France,FR,45.7573298,6.5394475,45.7573298;6.5394475,58,47,1,1,127,4.5,22,31,156,21,34,367,14,61
Orcieres 1850,France,FR,44.6844969,6.3246487,44.6844969;6.3246487,58,47,4403,1,127,4.23,21,82,143,22,5,375,14,61
St Jean d'Arves,France,FR,45.2061981,6.2731278,45.2061981;6.2731278,58,47,1058,1,127,4,20,135,136,22,5,352,15,24
Valmeinier,France,FR,45.1853248,6.4808156,45.1853248;6.4808156,58,47,28341,1,127,4,20,135,146,22,5,343,15,24
Madesimo,Italy,IT,46.4362982,9.3584136,46.4362982;9.3584136,58,47,101309,2,81,4.3,21,82,160,21,34,361,14,61
Hakuba 47,Japan,JP,36.67254525,137.8178837,36.67254525;137.817883668214,58,47,45735,1,127,4.7,23,4,181,20,100,361,14,61
Salen,Sweden,SE,58.926068,11.3545263,58.926068;11.3545263,58,47,298565,3,60,3.9,19,202,155,21,34,352,15,24
Pas de la Casa,Andorra,AD,42.5447098,1.733494,42.5447098;1.733494,57,65,100008,2,81,4.36,21,82,207,20,100,375,14,61
Soldeu & El Tarter,Andorra,AD,42.57834625,1.652981599,42.5783462499999;1.65298159893807,57,65,6232,1,127,4.5,22,31,207,20,100,375,14,61
Ischgl,Austria,AT,47.0120228,10.2913166,47.0120228;10.2913166,57,65,317572,4,40,4.7,23,4,188,20,100,474,10,197
Obertauern,Austria,AT,47.2494362,13.5569603,47.2494362;13.5569603,57,65,137501,2,81,4.1,20,135,177,21,34,375.41,14,61
Werfenweng,Austria,AT,47.4615532,13.2567806,47.4615532;13.2567806,57,65,25248,1,127,3.6,18,239,184,20,100,240,18,12
Panorama,Canada,CA,50.4687,-116.22256,50.4687;-116.22256,57,65,10530,1,127,4,20,135,125,22,5,375.41,14,61
Levi,Finland,FI,67.7844055,24.8557289,67.7844055;24.8557289,57,65,161485,2,81,4.33,21,82,180,20,100,361,14,61
Saariselkä,Finland,FI,68.4213976,27.4177638,68.4213976;27.4177638,57,65,23806,1,127,4.26,21,82,172,21,34,375.41,14,61
Saint Gervais,France,FR,45.2022356,5.4820229,45.2022356;5.4820229,57,65,52947,1,127,4.06,20,135,177,21,34,352,15,24
Sainte Foy,France,FR,49.7945618,1.1349043,49.7945618;1.1349043,57,65,26546,1,127,4.06,20,135,140,22,5,375,14,61
St Francois de Longchamp,France,FR,45.4172599,6.3620514,45.4172599;6.3620514,57,65,27,1,127,4,20,135,153,21,34,352,15,24
Val Cenis,France,FR,45.2768658,6.8170409,45.2768658;6.8170409,57,65,47318,1,127,4.3,21,82,142,22,5,402,13,141
Pila,Italy,IT,45.7699441,8.0810802,45.7699441;8.0810802,57,65,6820,1,127,4.13,20,135,142,22,5,375,14,61
Pragelato,Italy,IT,45.0162171,6.9424531,45.0162171;6.9424531,57,65,31978,1,127,4.3,21,82,155,21,34,375,14,61
St Cristina,Italy,IT,40.397764,18.030134,40.397764;18.030134,57,65,633,1,127,4,20,135,167,21,34,352,15,24
Veysonnaz,Switzerland,CH,46.1955082,7.3363267,46.1955082;7.3363267,57,65,19561,1,127,4.1,20,135,249,18,186,240,18,12
Alyeska,USA,US,60.9608164,-149.1091216,60.9608164;-149.1091216,57,65,58510,1,127,4.5,22,31,331,15,242,227,19,5
Lake Louise,Canada,CA,51.42446,-116.176823,51.424460;-116.176823,57,65,1178559,12,12,4.33,21,82,377,14,254,489,10,197
Hintertux,Austria,AT,47.1150202,11.6824994,47.1150202;11.6824994,56,83,135410,2,81,4,20,135,210,19,161,335.65,15,24
Igls,Austria,AT,47.2310263,11.4079216,47.2310263;11.4079216,56,83,16141,1,127,4.5,22,31,130,22,5,470,11,178
Lofer,Austria,AT,47.5866984,12.6934197,47.5866984;12.6934197,56,83,60900,1,127,4.2,21,82,207,20,100,361,14,61
Solden,Austria,AT,46.9673961,11.0070193,46.9673961;11.0070193,56,83,145345,2,81,4.15,20,135,212,19,161,352,15,24
St Christoph,Austria,AT,47.127712,10.2135362,47.127712;10.2135362,56,83,5696,1,127,4,20,135,203,20,100,352,15,24
Ruka,Finland,FI,66.1702656,29.1311291,66.1702656;29.1311291,56,83,24307,1,127,3.8,19,202,176,21,34,352,15,24
Salla,Finland,FI,66.8318774,28.6668631,66.8318774;28.6668631,56,83,3095,1,127,4.13,20,135,153,21,34,375.41,14,61
Le Grand Bornand,France,FR,45.9418675,6.4271457,45.9418675;6.4271457,56,83,56000,1,127,4.63,23,4,153,21,34,452,11,178
Les Menuires,France,FR,45.3242744,6.5388965,45.3242744;6.5388965,56,83,107446,2,81,4.23,21,82,277,17,210,309,16,22
Les Sybelles,France,FR,45.25492475,6.248865708,45.25492475;6.24886570829896,56,83,46873,1,127,4.26,21,82,190,20,100,361,14,61
Meribel,France,FR,45.4164656,6.5650613,45.4164656;6.5650613,56,83,316521,4,40,4.33,21,82,277,17,210,373,14,61
Risoul,France,FR,44.6491889,6.6387088,44.6491889;6.6387088,56,83,53398,1,127,4.1,20,135,164,21,34,375,14,61
Saint Lary Soulan,France,FR,42.816936,0.3219538,42.816936;0.3219538,56,83,26713,1,127,3.9,19,202,172,21,34,352,15,24
Saint Martin De Belleville,France,FR,45.379802,6.5046312,45.379802;6.5046312,56,83,14564,1,127,4.13,20,135,187,20,100,352,15,24
Val d'Isere,France,FR,45.4498666,6.9804421,45.4498666;6.9804421,56,83,392048,4,40,4.3,21,82,254,18,186,402,13,141
Furano,Japan,JP,43.3419744,142.383188,43.3419744;142.383188,56,83,243261,3,60,4.56,22,31,168,21,34,499,10,197
Sahoro,Japan,JP,43.1757542,142.7940441,43.1757542;142.794044078551,56,83,5589,1,127,4.13,20,135,160,21,34,375.41,14,61
Geilo,Norway,NO,60.5337182,8.2089732,60.5337182;8.2089732,56,83,238326,3,60,3.83,19,202,138,22,5,430,12,166
Hemsedal,Norway,NO,60.9282437,8.38348693,60.9282436999999;8.38348692995253,56,83,269192,3,60,3.7,18,239,167,21,34,361,14,61
Are,Sweden,SE,63.4010888,13.0822241,63.4010888;13.0822241,56,83,511318,6,25,3.83,19,202,168,21,34,473,10,197
Adelboden,Switzerland,CH,46.4927213,7.5587618,46.4927213;7.5587618,56,83,113503,2,81,4.56,22,31,266.5,18,186,375.41,14,61
Scuol,Switzerland,CH,46.7976371,10.2996234,46.7976371;10.2996234,56,83,44961,1,127,4.23,21,82,230,19,161,352,15,24
Villars,Switzerland,CH,46.7861393,6.583353,46.7861393;6.583353,56,83,80037,1,127,4.2,21,82,274,17,210,298,17,18
Wengen,Switzerland,CH,46.6054411,7.9217237,46.6054411;7.9217237,56,83,138574,2,81,4,20,135,294,17,210,298,17,18
Sundance,USA,US,44.4064017,-104.375895,44.4064017;-104.375895,56,83,682307,7,23,4.3,21,82,335,15,242,402,13,141
Fulpmes,Austria,AT,47.1530974,11.3490587,47.1530974;11.3490587,55,108,10598,1,127,4.4,22,31,172,21,34,441.42,11,178
Hochkoenig,Austria,AT,47.4203341,13.0624483,47.4203341;13.0624483,55,108,10845,1,127,4,20,135,238,19,161,335.65,15,24
Hochsolden,Austria,AT,46.9774242,10.9844696,46.9774242;10.9844696,55,108,4021,1,127,4.13,20,135,211,19,161,335.65,15,24
Neustift,Austria,AT,48.5053046,14.8928539,48.5053046;14.8928539,55,108,29303,1,127,4.5,22,31,191,20,100,432,12,166
Fernie,Canada,CA,49.5041747,-115.062867,49.5041747;-115.062867,55,108,222847,3,60,4.16,20,135,259,18,186,382,14,61
Montafon,Canada,AT,47.0349544, 9.95013074,47.0349544;9.95013074,55,108,184327,2,81,3.8,19,202,192,20,100,361,14,61
Pyhä,Finland,FI,60.6524159,21.8610745,60.6524159;21.8610745,55,108,43084,1,127,3.6,18,239,142,22,5,375,14,61
Montchavin Les Coches,France,FR,45.556829,6.7311789,45.556829;6.7311789,55,108,2731,1,127,4.2,21,82,223,19,161,373,14,61
Serre Chevalier,France,FR,44.9107381,6.5500282,44.9107381;6.5500282,55,108,181861,2,81,3.9,19,202,184,20,100,375,14,61
Val d'Allos - La Foux,France,FR,44.2902431,6.5690061,44.2902431;6.5690061,55,108,1097,1,127,4.1,20,135,169,21,34,402,13,141
