resort,country,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Jasper,Canada,79,1,3298674,25,1,4.4,22,31,293,17,210,335.65,15,24
Banff,Canada,76,2,2529168,25,1,4.5,22,31,493,10,280,220,19,5
Selva,Italy,75,3,1700753,18,5,4.6,23,4,184,20,100,375.41,14,61
Lake Tahoe,USA,74,4,3013739,25,1,4.06,20,135,260,18,186,452,11,178
Winter Park,USA,72,5,1438479,15,9,4,20,135,219,19,161,248.92,18,12
Sierra Nevada,Spain,70,6,1766553,18,5,4.3,21,82,292,17,210,375.41,14,61
Innsbruck,Austria,66,7,1633238,17,7,3.63,18,239,191,20,100,470,11,178
Megeve,France,64,8,368646,4,40,4.66,23,4,176,21,34,309,16,22
Wildschonau,Austria,63,9,32478,1,127,4.5,22,31,191,20,100,205.24,20,1
Zell am See,Austria,63,9,427478,5,29,4.4,22,31,252,18,186,248.92,18,12
Alleghe,Italy,63,9,63997,1,127,4.53,22,31,208,20,100,205,20,1
Alpendorf,Austria,62,12,24599,1,127,4.56,22,31,188,20,100,226.88,19,5
Morzine,France,62,12,408048,5,29,4.63,23,4,207,20,100,378,14,61
Madonna di Campiglio,Italy,62,12,413318,5,29,4.6,23,4,189,20,100,361,14,61
Niseko,Japan,62,12,697693,7,23,4.1,20,135,173,21,34,375.41,14,61
Big Sky,USA,62,12,745361,8,19,4.1,20,135,213,19,161,360,15,24
St Anton,Austria,61,17,355836,4,40,4.46,22,31,197,20,100,352,15,24
Whistler,Canada,61,17,3222108,25,1,4.85,24,1,494,10,280,713,2,251
Alpe di Siusi,Italy,61,17,213405,3,60,4.23,21,82,243,18,186,226.88,19,5
Interlaken,Switzerland,61,17,945324,10,16,4.23,21,82,308,16,229,364,14,61
Jackson Hole,USA,61,17,1045713,11,14,4.6,23,4,326,16,229,446,11,178
Vail,USA,61,17,1145290,12,12,4.25,21,82,341,15,242,401.59,13,141
Oberau,Austria,60,23,10877,1,127,4.85,24,1,177,21,34,375.41,14,61
Yllas,Finland,60,23,17233,1,127,4.1,20,135,178,21,34,248.92,18,12
Alpe d'Huez,France,60,23,234327,3,60,4.03,20,135,240,18,186,226.88,19,5
Pralognan-La-Vanoise,France,60,23,28866,1,127,4.4,22,31,105,23,1,375,14,61
St Sorlin d'Arves,France,60,23,1975,1,127,4.66,23,4,148,22,5,375,14,61
Valfrejus,France,60,23,20538,1,127,4.8,24,1,127,22,5,402,13,141
Arabba,Italy,60,23,47495,1,127,4,20,135,201,20,100,226.88,19,5
Monterosa,Italy,60,23,310765,4,40,4.2,21,82,172,21,34,361,14,61
Hakuba Iwatake,Japan,60,23,6441,1,127,4.7,23,4,144,22,5,361,14,61
Andermatt,Switzerland,60,23,126780,2,81,4.46,22,31,327,16,229,205,20,1
Verbier,Switzerland,60,23,463751,5,29,4,20,135,288,17,210,257,18,12
Park City,USA,60,23,1386541,14,10,4.33,21,82,450,11,277,375,14,61
Niederau,Austria,59,35,11359,1,127,4.7,23,4,177,21,34,375.41,14,61
Saalbach,Austria,59,35,231044,3,60,4.43,22,31,211,19,161,352,15,24
Waidring,Austria,59,35,16078,1,127,4.2,21,82,189,20,100,298,17,18
Westendorf,Austria,59,35,45809,1,127,4.3,21,82,203,20,100,296.52,17,18
Pamporovo,Bulgaria,59,35,60305,1,127,4.5,22,31,146,22,5,375.41,14,61
Iso-Syote,Finland,59,35,59803,1,127,4.2,21,82,129,22,5,336,15,24
Isola 2000,France,59,35,46525,1,127,4.1,20,135,104,23,1,361,15,24
Les Orres,France,59,35,57954,1,127,4.46,22,31,140,22,5,367,14,61
Tignes,France,59,35,433745,5,29,4.6,23,4,254,18,186,402,13,141
